# Index,Temperature,Pressure
277,28.3,1034.0
278,28.3,1034.0
279,28.3,1034.0
280,28.4,1034.1
281,28.4,1034.0
282,28.4,1034.0
283,28.4,1034.0
284,28.4,1034.0
285,28.4,1034.1
286,28.4,1034.1
287,28.4,1034.0
288,28.4,1034.0
289,28.4,1034.1
290,28.4,1034.1
291,28.4,1034.1
292,28.4,1034.0
293,28.4,1034.1
294,28.4,1034.1
295,28.4,1034.1
296,28.4,1034.1
297,28.4,1034.0
298,28.4,1034.1
299,28.4,1034.1
300,28.4,1034.1
301,28.4,1034.1
302,28.4,1034.1
303,28.4,1034.1
304,28.4,1034.1
305,28.4,1034.1
306,28.4,1034.1
307,28.4,1034.1
308,28.4,1034.1
309,28.4,1034.1
310,28.4,1034.1
311,28.4,1034.1
312,28.4,1034.1
313,28.4,1034.1
314,28.4,1034.1
315,28.4,1034.1
316,28.4,1034.1
317,28.4,1034.1
318,28.4,1034.1
319,28.4,1034.1
320,28.4,1034.1
321,28.4,1034.2
322,28.4,1034.2
323,28.4,1034.1
324,28.4,1034.1
325,28.4,1034.1
326,28.4,1034.1
327,28.4,1034.1
328,28.4,1034.1
329,28.4,1034.1
330,28.4,1034.1
331,28.4,1034.1
332,28.4,1034.2
333,28.4,1034.2
334,28.4,1034.2
335,28.4,1034.1
336,28.4,1034.1
337,28.4,1034.1
338,28.4,1034.1
339,28.4,1034.1
340,28.4,1034.1
341,28.4,1034.1
342,28.4,1034.1
343,28.4,1034.1
344,28.4,1034.1
345,28.4,1034.1
346,28.4,1034.1
347,28.4,1034.1
348,28.4,1034.1
349,28.4,1034.1
350,28.4,1034.0
351,28.4,1034.1
352,28.4,1034.1
353,28.4,1034.0
354,28.4,1034.1
355,28.4,1034.0
356,28.4,1034.1
357,28.4,1034.0
358,28.4,1034.0
359,28.4,1034.1
360,28.4,1034.0
361,28.4,1034.0
362,28.3,1034.0
363,28.4,1034.0
364,28.4,1034.0
365,28.4,1034.1
366,28.4,1034.0
367,28.4,1034.0
368,28.4,1034.1
369,28.4,1034.1
370,28.3,1034.0
371,28.3,1034.0
372,28.4,1034.1
373,28.3,1034.0
374,28.3,1034.1
375,28.4,1034.0
376,28.4,1034.1
377,28.4,1034.1
378,28.4,1034.0
379,28.4,1034.0
380,28.4,1034.1
381,28.4,1034.1
382,28.4,1034.1
383,28.4,1034.1
384,28.4,1034.1
385,28.4,1034.1
386,28.4,1034.1
387,28.4,1034.1
388,28.4,1034.1
389,28.4,1034.1
390,28.4,1034.1
391,28.4,1034.1
392,28.4,1034.1
393,28.4,1034.1
394,28.4,1034.1
395,28.4,1034.1
396,28.4,1034.1
397,28.4,1034.0
398,28.4,1034.1
399,28.4,1034.1
400,28.4,1034.1
401,28.4,1034.1
402,28.4,1034.1
403,28.4,1034.1
404,28.4,1034.1
405,28.4,1034.1
406,28.4,1034.1
407,28.4,1034.1
408,28.4,1034.1
409,28.4,1034.1
410,28.4,1034.1
411,28.4,1034.1
412,28.4,1034.1
413,28.4,1034.1
414,28.4,1034.1
415,28.4,1034.1
416,28.4,1034.1
417,28.4,1034.1
418,28.4,1034.1
419,28.4,1034.1
420,28.4,1034.1
421,28.4,1034.1
422,28.4,1034.1
423,28.4,1034.2
424,28.4,1034.2
425,28.4,1034.1
426,28.4,1034.1
427,28.4,1034.1
428,28.4,1034.1
429,28.4,1034.1
430,28.4,1034.1
431,28.4,1034.1
432,28.4,1034.1
433,28.4,1034.1
434,28.4,1034.1
435,28.4,1034.1
436,28.4,1034.1
437,28.4,1034.1
438,28.4,1034.1
439,28.4,1034.1
440,28.4,1034.1
441,28.4,1034.1
442,28.4,1034.1
443,28.4,1034.1
444,28.4,1034.1
445,28.4,1034.1
446,28.4,1034.0
447,28.4,1034.1
448,28.4,1034.1
449,28.4,1034.0
450,28.4,1034.1
451,28.4,1034.1
452,28.4,1034.0
453,28.4,1034.0
454,28.4,1034.0
455,28.4,1034.0
456,28.4,1034.1
